Department,Number,Order,Title,Description
APS,502,0,Financial Engineering,"provide an introduction to financial engineering concepts especially relevant for engineering students. The major topics include the theory of interest, applied interest rate analysis, fixed-income securities e.g. bonds, basic derivative securities e.g. options, portfolio (mean-variance) optimization theory (including practical engineering issues), the capital asset pricing model, and introduction to options and option pricing."
APS,1005,1,Operations Research for Engineering Management,"introduce optimization techniques applicable in solving various engineering problems. These techniques are widely used in engineering design, optimal control, production planning, reliability engineering, and operations management. The contents of this course can be classified into two major categories: Modeling techniques (week 1) and Optimization algorithms (week 2). Topics include linear programming, network programming, integer programming, dynamic programming, and decision making under uncertainty. Widely available software will be used for numerically solving linear, network and integer programming models."
APS,1017,1,Supply Chain Management and Logistics,"provide students with a framework to design and control supply chain systems. To achieve the goal, the course will cover key modules in supply chain. The students will be exposed to topics such as: product and supply chain matching, forecasting, inventory models, supply chain coordination via contract design, and the value of information."
APS,1022,1,Financial Engineering II,"provide an introduction to
financial engineering concepts especially relevant for engineering
students. The major topics include the theory of interest, applied
interest rate analysis, fixed-income securities e.g. bonds, basic
derivative securities e.g. options, portfolio (mean-variance)
optimization theory (including practical engineering issues), the
capital asset pricing model, and introduction to options and option
pricing."
APS,1040,1,Quality Control for Engineering Management,"introduce quality control techniques applicable in various engineering settings. These techniques are widely used in monitoring and improving the quality of both products and services. Topics include process quality inference, statistical process control, Shewhart control charts, process capability analysis, CUSUM and EWMA charts. Various simulation models will be used to represent and generate data sets in various settings, for analysis with Python"
APS,1050,2,Blockchain Technologies,provide students with the concepts and mechanics of the Blockchain technologies starting from Bitcoin. Cryptography Essentials 
APS,1051,2,Portfolio Management Praxis Under Real Market Constraint,"techniques most commonly used to evaluate investment portfolios and investment managers and an overview of the theoretical foundations of modern finance, manage basic Stocks and ETF portfolios as well as trading currency pairs and basic derivatives portfolios of Credit & Debit Spreads. manage the risk of any basic investment portfolio using index-option’s hedging and/or market breadth- based algorithms, and to apply the best known tests to evaluate the back-testing results of different trading systems. As collateral benefits of this course, participants will be exposed to the basics of python in finance -as they learn how to calibrate the trading software shared by the instructors-, as well as to basic equity valuation methods, basic portfolio optimization methods and basic bond and derivative pricing methods. Participants will be also exposed through case studies to the portfolio management strategies of some of the most important contemporary portfolio managers and apply digested versions of their techniques to basic portfolios under real market constraints. In the long run, after having assimilated and tested what they’ve learned in this course, students should be able to assemble general portfolio management strategies well adapted to their own risk/return profiles. For more details please go to the Course Layout section of the Syllabus.

 "
APS,1052,2,Artificial Intelligence in Finance,"In this course we’ll give an overview of several applications of machine learning to capital market forecasting and credit modeling, beginning with regressions, “shallow” layered machine learning models, Training and testing workflow: scaling, cross-validation pipelines. Gradient descent: mini-batch, stochastic. Financial metrics: profitability and risk. Financial feature engineering. Models: multivariate regression, logistic regression, support vector machines, principal component analysis, decision trees, random forests, k-means, and hierarchical clustering, Gaussian mixtures, MLPs, LSTMs, and auto-encoder neural networks. Applications: credit modeling, financial time-series forecasting, investment portfolio design, and spread trading, credit cycle regime identification."
APS,1080,1,Introduction to Reinforcement Learning,"Reinforcement Learning (RL) is a systems-level Artificial Intelligence toolset. This introduction, thus, will be
presented within the motivating context of an overall AI system. There are three foundational
RL tools we will cover (dynamic programming, Monte Carlo, Temporal-Difference Learning); we
will also show how hybridizations of these foundational tools are employed to create
production schemes"
CHE,507,1,Data-based Modelling for Prediction and Control,build mathematical models of dynamic systems and how to use these models for prediction and control purposes. The course will deal primarily with a system identification approach to modelling (using observations from the system to build a model). Both continuous time and discrete time representations will be treated along with deterministic and stochastic models. This course will make extensive use of interactive learning by having students use computer based tools available in the Matlab software package
